"","FIPS","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19"
"2254",42087,424255.874362296,465603.160465989,27037.3358892411,7487.09295092224,11992.3978169973,690.60846329613,5383.58790803663,0,6550.62537408012,55198.5283782247,57920.9917387986,12892.976563349,0,0,0,0,1578.89990566785,287.072710121427,56735.2173147657
"2257",42093,174720.101448315,74291.1605286273,21494.7145209348,4750.08816131052,4793.52960967979,0,0,0,1027.88461547304,14993.7379108894,22204.7423223464,13930.7240416987,0,0,0,0,650.233899789081,118.224345416197,23365.1047020341
"2259",42097,1133147.76067375,193027.520435556,100827.408607547,16181.8435844006,63846.3069402449,1281.63387492735,1691.50744977101,0,15682.9409643816,46572.3615952308,68769.0395289329,47232.0772858891,0,0,0,0,4217.09397689489,766.744359435437,151534.459123752
"2260",42099,599483.255254456,513338.198743815,123574.03213625,16471.0755557555,45462.1465924867,0,2775.32518610577,0,2214.9145182474,45365.5921489053,135609.845499261,25498.8704561307,0,0,0,0,2231.02168377385,405.640306140702,80168.159874152
"2263",42105,93219.7696883739,217786.101844349,42041.2920727502,8155.47606012117,1831.67391589391,629.959618636322,0,0,1322.067714174,66229.2950209338,107726.755910809,673.552242054623,0,0,0,0,346.924331427555,63.0771511686466,12466.1653754401
"2264",42107,671148.896297787,130391.084405713,119672.646149669,14758.5241576173,18839.7405196049,6093.88394140402,1710.57782102553,0,10652.466811298,33899.7925699898,82932.5392651567,24599.6969391988,0,0,0,0,2497.73071650798,454.132857546908,89751.9180830561
"2265",42109,677649.53660071,204709.994278385,77759.144096743,10907.6276612004,25251.768378797,0,1751.6346318707,0,11898.2492753341,47850.6433050424,69855.6939324629,29783.2698390706,0,0,0,0,2521.92333464555,458.531515390101,90621.2407313891
"2266",42111,659864.435915456,551376.382908234,102992.799663805,47078.6942966471,6102.98160061672,0,3341.86253006632,0,4190.25548571861,133078.362992079,299981.352232382,22892.2213081993,0,0,0,0,2455.73475484934,446.497228154426,88242.861047526
"2267",42113,48717.4851634093,63404.1678817469,0,11059.5766270326,0,0,0,0,607.552623122839,7309.14926379407,80366.1852483091,859.040289983625,0,0,0,0,181.305757626812,32.9646832048751,6514.9294913818
"2268",42115,21050.5809120484,227134.547526972,3360.98581800286,1111.24702543793,0,0,1759.017009448,0,1417.4768420924,24549.5641192007,353662.079766768,106.837961718936,0,0,0,0,78.3413082169933,14.2438742212715,2815.06834629527
"2269",42117,280621.157537039,294960.110893178,29016.4567471114,12376.1470968072,8436.61211303643,0,0,0,3577.39384594132,85236.6587199727,478807.674563099,4732.48804452566,0,0,0,0,1044.35258516955,189.882288212647,37527.1229418241
"2270",42119,455266.858000256,300192.403875834,38513.5294492141,1572.38328566942,9530.16041261054,0,1900.33552998966,0,20610.1703253451,54992.9306207025,42097.4539988841,23111.2588415241,0,0,0,0,1694.30959613882,308.056290207059,60882.2780914465
"2274",42127,16872.4641501884,110192.645201602,1407.85615060536,243.476883678377,0,0,0,0,2395.73550776179,6465.9004901888,247895.925843605,304.135112480676,0,0,0,0,62.792134805816,11.4167517828757,2256.33392026782
"2276",42131,67378.1385071434,60148.2448471658,0,1870.51100344161,0,0,0,0,2554.88079506312,20047.2711972305,105900.25170062,1443.10095524785,0,0,0,0,250.752771998526,45.5914130906413,9010.39575754403
"2277",42133,2862587.69736024,508047.32381262,719448.064913699,3509.01132329438,144497.24776418,0,4886.47174954506,0,7096.51082192013,89917.7323006578,249209.159250424,103278.404684397,0,0,0,0,10653.3337979627,1936.96978144776,382810.339011636
"2787",51001,750908.384945608,0,321835.916028385,0,11146.7100728505,38188.0501015695,0,0,2992.48508705525,1322.97687449024,2598.72244588894,52980.3932859911,0,0,0,0,2794.56160727985,508.102110414521,100418.056597109
